supplier,sku_adquify,sku_supplier,name,price,stock_status,category,dimensions,materials,images,description,url,source
,ADQ-CA-11D9C764,,,,,,,,https://casathai.es/3724-home_default/mesa-basic-cristal-trasparente.jpg,,,scraper
,ADQ-CA-4EF65266,,,,,,,,https://casathai.es/3728-home_default/mesa-tower-cristal-100x100.jpg,,,scraper
,ADQ-CA-E902E4BE,,,,,,,,https://casathai.es/2669-home_default/mesa-soul-natural.jpg,,,scraper
,ADQ-CA-233E46D0,,,,,,,,https://casathai.es/6123-home_default/mesa-soul-madera-blanca-cristal-blanco.jpg,,,scraper
,ADQ-CA-C6A818A0,,,,,,,,https://casathai.es/6122-home_default/mesa-soul-patas-blancas-cristal-transparente.jpg,,,scraper
,ADQ-CA-F4521F66,,,,,,,,https://casathai.es/1217-home_default/mesa-soul-patas-negras-cristal-transparente.jpg,,,scraper
,ADQ-CA-DA893641,,,,,,,,https://casathai.es/939-home_default/mesa-ecco-blanca-cristal.jpg,,,scraper
,ADQ-CA-56ABA0F0,,,,,,,,https://casathai.es/5128-home_default/mesa-coral-transparente-pata-negra.jpg,,,scraper
,ADQ-CA-FB4CFF9A,,,,,,,,https://casathai.es/6119-home_default/mesa-gina-efecto-marmol-negra-120-cm.jpg,,,scraper
,ADQ-CA-418CE813,,,,,,,,https://casathai.es/6118-home_default/mesa-gina-efecto-marmol-negro-90-cm.jpg,,,scraper
,ADQ-CA-09D6ED1D,,,,,,,,https://casathai.es/6117-home_default/mesa-gina-efecto-marmol-blanca-120-cm.jpg,,,scraper
,ADQ-CA-36695086,,,,,,,,https://casathai.es/6116-home_default/mesa-gina-efecto-marmol-blanca-90-cm.jpg,,,scraper
,ADQ-CA-F74DF44F,,,,,,,,https://casathai.es/6115-home_default/mesa-de-comedor-inca-blanca.jpg,,,scraper
,ADQ-CA-3CB09E0C,,,,,,,,https://casathai.es/6103-home_default/mesa-de-comedor-inca-natural-negro.jpg,,,scraper
,ADQ-CA-710B2E6F,,,,,,,,https://casathai.es/6114-home_default/mesa-nina-nogal-100-cm.jpg,,,scraper
,ADQ-CA-0E6D99A5,,,,,,,,https://casathai.es/6113-home_default/mesa-nina-natural.jpg,,,scraper
,ADQ-CA-CF163714,,,,,,,,https://casathai.es/6112-home_default/mesa-nina-blanca.jpg,,,scraper
,ADQ-CA-7C0FB629,,,,,,,,https://casathai.es/6110-home_default/mesa-nina-negra.jpg,,,scraper
,ADQ-CA-BF1AB20B,,,,,,,,https://casathai.es/6109-home_default/mesa-nina-natural-120-cm.jpg,,,scraper
,ADQ-CA-4868DF55,,,,,,,,https://casathai.es/6108-home_default/mesa-nina-blanca-120-cm.jpg,,,scraper
,ADQ-CA-AF35217C,,,,,,,,https://casathai.es/6106-home_default/mesa-redonda-teba-madera-pata-blanca-110.jpg,,,scraper
,ADQ-CA-3D521117,,,,,,,,https://casathai.es/6105-home_default/mesa-redonda-teba-madera-pata-blanca-110.jpg,,,scraper
,ADQ-CA-BC66D477,,,,,,,,https://casathai.es/6104-home_default/-mesa-redonda-teba-madera-pata-negra-110.jpg,,,scraper
,ADQ-CA-9B007803,,,,,,,,https://casathai.es/6107-home_default/mesa-nina-nogal-120-cm.jpg,,,scraper
,ADQ-CA-83E3B99F,,,,,,,,https://casathai.es/2867-home_default/mesa-extensible-tribal-blanca-puropatas-blanco.jpg,,,scraper
,ADQ-CA-A74E8BF5,,,,,,,,https://casathai.es/4375-home_default/mesa-de-escritorio-duster.jpg,,,scraper
